Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
176,COMPLEXO,1.0213,NAT,2130,1663,1220,1053,956,910,2175.369,1698.4219,1245.986,1075.4289,976.3628000000001,929.383,São Francisco (NE),Nordeste
178,XINGÓ,1.0781,NAT,2177,1726,1220,1053,956,910,2347.0237,1860.8006,1315.2820000000002,1135.2393,1030.6636,981.071,São Francisco (NE),Nordeste
183,A. DIAS + SÁ CARVALHO,0.9364,NAT,40,36,35,34,34,34,37.456,33.7104,32.774,31.837600000000002,31.837600000000002,31.837600000000002,Doce,Sudeste
188,ITAPEBI,0.715,NAT,97,87,81,78,75,76,69.355,62.205,57.915,55.769999999999996,53.625,54.339999999999996,Jequitinhonha (NE),Nordeste
190,B. ESPERANCA,0.3784,NAT,482,373,326,289,280,277,182.3888,141.1432,123.3584,109.3576,105.952,104.8168,Parnaíba,Nordeste
191,CANA BRAVA,0.3868,NAT,548,488,522,481,444,412,211.9664,188.7584,201.90959999999998,186.05079999999998,171.73919999999998,159.36159999999998,Tocantins (SE),Sudeste
196,ROSAL,1.6903,NAT,20,20,19,18,19,18,33.806,33.806,32.1157,30.4254,32.1157,30.4254,Itabapoana,Sudeste
197,PICADA,1.1546,NAT,19,19,18,18,18,17,21.9374,21.9374,20.7828,20.7828,20.7828,19.6282,Paraíba do Sul,Sudeste
198,SOBRAGI,0.7164,NAT,39,38,37,37,36,35,27.939600000000002,27.223200000000002,26.506800000000002,26.506800000000002,25.7904,25.074,Paraíba do Sul,Sudeste
204,CACHOEIRA CALDEIRAO,0.1406,NAT,2896,2457,2474,2644,2490,2158,407.1776,345.4542,347.8444,371.7464,350.094,303.4148,Araguari,Norte
205,CORUMBA IV,0.5836,NAT,71,60,58,54,51,48,41.4356,35.016,33.8488,31.514400000000002,29.7636,28.0128,Paranaíba,Sudeste
206,MIRANDA,0.6195,NAT,258,232,225,214,207,201,159.83100000000002,143.72400000000002,139.38750000000002,132.573,128.2365,124.51950000000001,Paranaíba,Sudeste
207,CAPIM BRANCO 1,0.5114,NAT,260,233,226,215,208,202,132.964,119.1562,115.57639999999999,109.951,106.37119999999999,103.30279999999999,Paranaíba,Sudeste
209,CORUMBA I,0.6294,NAT,295,256,241,227,214,203,185.673,161.1264,151.6854,142.8738,134.6916,127.7682,Paranaíba,Sudeste
211,FUNIL-GRANDE,0.3549,NAT,161,150,142,136,134,129,57.1389,53.235,50.3958,48.2664,47.556599999999996,45.7821,Grande,Sudeste
213,SUIÇA,2.1132,NAT,6,5,5,5,6,6,12.6792,10.565999999999999,10.565999999999999,10.565999999999999,12.6792,12.6792,Santa Maria da Vitória,Sudeste
215,BARRA GRANDE,1.4153,NAT,70,194,120,155,185,180,99.071,274.5682,169.836,219.3715,261.8305,254.754,Uruguai,Sul
216,CAMPOS NOVOS,1.6063,NAT,114,218,202,216,202,199,183.1182,350.1734,324.4726,346.9608,324.4726,319.6537,Uruguai,Sul
217,MACHADINHO,0.8779,NAT,270,554,429,524,521,523,237.03300000000002,486.3566,376.6191,460.0196,457.3859,459.1417,Uruguai,Sul
220,MONJOLINHO,0.54,NAT,86,118,77,103,85,78,46.440000000000005,63.720000000000006,41.580000000000005,55.620000000000005,45.900000000000006,42.120000000000005,Uruguai,Sul
222,SALTO CAXIAS,0.5596,NAT,1222,1929,2417,2876,2545,1789,683.8312,1079.4684,1352.5532,1609.4096,1424.182,1001.1243999999999,Iguaçu,Sul
225,SALTO APIACÁS,0.2218,NAT,290,212,173,138,110,90,64.322,47.0216,38.3714,30.6084,24.398,19.962,Amazonas (SE),Sudeste
226,JURUENA,0.2969,NAT,146,141,137,134,132,131,43.3474,41.862899999999996,40.6753,39.7846,39.1908,38.8939,Amazonas (SE),Sudeste
227,SINOP,0.2431,NAT,950,852,784,739,651,670,230.94500000000002,207.12120000000002,190.59040000000002,179.6509,158.2581,162.877,Amazonas (SE),Sudeste
228,COLIDER,0.2078,NAT,1050,941,857,808,712,727,218.19000000000003,195.5398,178.08460000000002,167.9024,147.95360000000002,151.0706,Amazonas (SE),Sudeste
229,TELES PIRES,0.5054,NAT,3099,2509,2110,1865,1690,1551,1566.2345999999998,1268.0485999999999,1066.394,942.5709999999999,854.126,783.8753999999999,Amazonas (SE),Sudeste
230,SAO MANOEL,0.2267,NAT,3142,2541,2121,1874,1706,1565,712.2914000000001,576.0447,480.83070000000004,424.8358,386.7502,354.7855,Amazonas (SE),Sudeste
241,SLT VERDINHO,0.3742,NAT,122,113,112,110,108,107,45.6524,42.2846,41.910399999999996,41.162,40.413599999999995,40.0394,Paranaíba,Sudeste
247,CACU,0.243,NAT,134,120,117,112,109,107,32.562,29.16,28.431,27.216,26.487,26.000999999999998,Paranaíba,Sudeste
248,B. COQUEIROS,0.3214,NAT,140,125,121,117,113,111,44.996,40.175000000000004,38.8894,37.6038,36.318200000000004,35.6754,Paranaíba,Sudeste
249,OURINHOS,0.0962,NAT,88,143,102,91,133,163,8.4656,13.756599999999999,9.8124,8.754199999999999,12.794599999999999,15.680599999999998,Paranapanema (SE),Sudeste
251,SERRA FACAO,0.6489,NAT,101,92,88,83,78,75,65.5389,59.698800000000006,57.1032,53.858700000000006,50.614200000000004,48.667500000000004,Paranaíba,Sudeste
252,ITIQUIRA II,1.2239,NAT,63,60,57,56,54,53,77.1057,73.434,69.7623,68.5384,66.0906,64.8667,Paraguai,Sudeste
253,SÃO SALVADOR,0.2149,NAT,619,532,565,520,479,444,133.0231,114.3268,121.41850000000001,111.748,102.9371,95.4156,Tocantins (SE),Sudeste
254,PEDRA DO CAVALO,0.9483,NAT,44,36,17,17,17,16,41.7252,34.1388,16.121100000000002,16.121100000000002,16.121100000000002,15.1728,Paraguaçu,Nordeste
255,IRAPÉ,1.4533,NAT,51,45,43,41,39,39,74.1183,65.3985,62.4919,59.585300000000004,56.6787,56.6787,Jequitinhonha (SE),Sudeste
257,PEIXE ANGICAL,0.2408,NAT,1117,906,905,826,759,703,268.9736,218.16479999999999,217.92399999999998,198.90079999999998,182.7672,169.2824,Tocantins (SE),Sudeste
259,ITIQUIRA I,0.7685,NAT,63,60,57,56,54,53,48.415499999999994,46.11,43.8045,43.036,41.498999999999995,40.7305,Paraguai,Sudeste
261,FOZ DO RIO CLARO,0.2395,NAT,151,135,130,126,122,120,36.1645,32.332499999999996,31.134999999999998,30.177,29.218999999999998,28.74,Paranaíba,Sudeste
262,GUILMAN,1.0066,NAT,39,36,34,33,34,34,39.2574,36.2376,34.224399999999996,33.2178,34.224399999999996,34.224399999999996,Doce,Sudeste
263,PORTO ESTRELA,0.4593,NAT,71,64,65,63,62,64,32.6103,29.3952,29.854499999999998,28.9359,28.476599999999998,29.3952,Doce,Sudeste
269,BALBINA,0.208,NAT,1099,1190,1183,1176,1262,1110,228.59199999999998,247.51999999999998,246.064,244.60799999999998,262.496,230.88,Amazonas (N),Norte
270,SERRA DA MESA,1.0404,NAT,480,442,478,442,408,378,499.392,459.8568,497.3112,459.8568,424.4832,393.2712,Tocantins (SE),Sudeste
271,ESTREITO TOC,0.211,NAT,3929,2817,2564,2349,2172,2020,829.019,594.387,541.004,495.639,458.292,426.21999999999997,Tocantins (N),Norte
273,LAJEADO,0.3315,NAT,1763,1356,1261,1147,1052,974,584.4345000000001,449.514,418.0215,380.2305,348.738,322.88100000000003,Tocantins (SE),Sudeste
275,TUCURUI,0.5496,NAT,20970,16527,12916,9964,7922,6532,11525.112,9083.2392,7098.6336,5476.2144,4353.9312,3589.9872,Tocantins (N),Norte
277,CURUA-UNA,0.1679,NAT,392,346,305,298,263,237,65.8168,58.093399999999995,51.2095,50.0342,44.1577,39.7923,Amazonas (N),Norte
278,MANSO,0.508,NAT,131,106,85,76,79,79,66.548,53.848,43.18,38.608000000000004,40.132,40.132,Paraguai,Sudeste
279,SAMUEL,0.2762,NAT,854,607,454,351,302,252,235.8748,167.6534,125.3948,96.9462,83.4124,69.6024,Amazonas (SE),Sudeste
280,COARACY NUNES,0.1795,NAT,2904,2466,2481,2652,2497,2165,521.268,442.647,445.3395,476.034,448.2115,388.6175,Araguari,Norte
281,P.PEDRA,2.2106,NAT,74,69,65,64,63,63,163.5844,152.5314,143.689,141.4784,139.2678,139.2678,Paraguai,Sudeste
283,SANTA CLARA - MG,0.4495,NAT,46,46,51,49,47,46,20.677,20.677,22.924500000000002,22.0255,21.1265,20.677,Mucuri,Sudeste
284,14 DE JULHO,0.3016,NAT,54,272,105,141,176,184,16.2864,82.03519999999999,31.668,42.5256,53.081599999999995,55.4944,Jacuí,Sul
285,JIRAU,0.155,NAT,34874,31229,27807,25510,23531,22137,5405.47,4840.495,4310.085,3954.05,3647.305,3431.235,Amazonas (SE),Sudeste
286,QUEBRA-QUEIXO,1.035,NAT,20,45,46,58,59,59,20.7,46.574999999999996,47.61,60.029999999999994,61.065,61.065,Uruguai,Sul
287,SANTO ANTONIO,0.1589,NAT,35750,32377,28271,25922,23890,22473,5680.675,5144.7053000000005,4492.2619,4119.0058,3796.121,3570.9597000000003,Amazonas (SE),Sudeste
288,PIMENTAL,0.0,NAT,15765,14888,12430,10022,8352,6689,0.0,0.0,0.0,0.0,0.0,0.0,Xingu,Norte
290,SANTO ANTONIO DO JARI,0.2315,NAT,2426,2682,3276,3931,3754,3440,561.619,620.883,758.394,910.0265,869.051,796.36,Amazonas (N),Norte
291,DARDANELOS,0.8689,NAT,821,635,517,422,363,318,713.3669,551.7515,449.2213,366.6758,315.4107,276.3102,Amazonas (SE),Sudeste
292,BELO MONTE ART,0.8185,ART,8849.167142857143,9351.44,8272.711428571429,6668.7814285714285,5371.445714285714,4081.108571428572,7243.043306428572,7654.15364,6771.214304285714,5458.397599285714,4396.528317142856,3340.3873657142863,Xingu,Norte
294,SALTO,0.4502,NAT,111,104,103,101,100,99,49.9722,46.8208,46.370599999999996,45.4702,45.019999999999996,44.5698,Paranaíba,Sudeste
295,JAURU,0.9297,NAT,91,79,77,76,77,77,84.6027,73.4463,71.5869,70.6572,71.5869,71.5869,Paraguai,Sudeste
296,GUAPORÉ,1.5452,NAT,42,38,36,34,34,35,64.8984,58.7176,55.627199999999995,52.5368,52.5368,54.081999999999994,Amazonas (SE),Sudeste
297,FERREIRA GOMES,0.1499,NAT,2926,2487,2501,2674,2517,2182,438.60740000000004,372.8013,374.8999,400.8326,377.29830000000004,327.0818,Araguari,Norte
299,ILHA POMBOS,0.2702,ART,207.54736842105262,205.40526315789475,191.94210526315788,186.19473684210527,194.29473684210527,183.43684210526317,56.07929894736842,55.50050210526316,51.86275684210526,50.309817894736845,52.498437894736846,49.56463473684211,Paraíba do Sul,Sudeste
302,PIMENTAL_ART,0.114,ART,6915.832857142857,5536.5599999999995,4157.288571428571,3353.2185714285715,2980.5542857142864,2607.891428571428,788.4049457142858,631.16784,473.93089714285713,382.26691714285715,339.78318857142864,297.2996228571428,Xingu,Norte
303,FONTES,2.7014,ART,13.0,12.0,11.0,10.0,10.0,9.0,35.1182,32.4168,29.7154,27.014,27.014,24.3126,Paraíba do Sul,Sudeste
306,PEREIRA PASSOS,0.3233,ART,113.45263157894736,122.59473684210526,102.0578947368421,98.80526315789474,110.70526315789473,101.56315789473685,36.67923578947368,39.634878421052626,32.99531736842105,31.943741578947368,35.79101157894736,32.83536894736842,Paraíba do Sul,Sudeste
318,H.BORDEN,5.6808,ART,35.4,30.0,20.9,21.1,33.4,22.3,201.10031999999998,170.42399999999998,118.72871999999998,119.86488,189.73871999999997,126.68184,Alto Tietê,Sudeste
