Posto,NOME,Tipo,BACIA,REGIAO,PRODUTIBILIDADE,ENA1_DIF,ENA2_DIF,ENA3_DIF,ENA4_DIF,ENA5_DIF,ENA6_DIF
89,GARIBALDI,NAT,Uruguai,Sul,0.3691,-0.3691000000000031,0.738199999999992,0.3691000000000031,-0.7382000000000062,-0.3691000000000031,-0.3690999999999889
92,ITÁ,NAT,Uruguai,Sul,0.9097,-0.9097000000000435,5.45819999999992,-8.18730000000005,19.103700000000003,5.4582000000000335,-0.9097000000000435
93,PASSO FUNDO,NAT,Uruguai,Sul,2.2252,0.0,0.0,0.0,0.0,0.0,-2.225200000000001
94,FOZ CHAPECO,NAT,Uruguai,Sul,0.4506,-0.45060000000000855,2.2530000000000427,-3.154200000000003,12.166200000000003,4.055399999999963,0.45060000000000855
97,MONTE CLARO,NAT,Jacuí,Sul,0.3541,0.0,0.0,0.7081999999999979,2.4787000000000035,1.0623000000000005,1.0623000000000005
98,CASTRO ALVES,NAT,Jacuí,Sul,0.7676,-0.7676000000000016,0.0,0.0,0.0,0.0,0.0
99,ESPORA,NAT,Paranaíba,Sudeste,0.4021,-0.4021000000000008,-0.4021000000000008,-0.40209999999999724,0.0,0.0,0.0
101,SALTO PILAO,NAT,Itajaí-Açu,Sul,1.7641,-1.7640999999999991,-1.7640999999999991,0.0,1.764099999999985,0.0,-1.7641000000000133
102,SÃO JOSÉ,NAT,Uruguai,Sul,0.1878,0.0,0.0,-0.18780000000000285,-0.18779999999999575,-0.18780000000000285,0.0
103,PASSO SÃO JOÃO,NAT,Uruguai,Sul,0.2545,0.0,0.5090000000000003,-0.25450000000000017,-0.25450000000000017,-0.25450000000000017,-0.25450000000000017
110,ERNESTINA,NAT,Jacuí,Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,PASSO REAL,NAT,Jacuí,Sul,0.3682,-0.36820000000000164,0.0,0.0,0.0,-0.36820000000000164,-0.36820000000000164
112,JACUI,NAT,Jacuí,Sul,0.7951,0.0,0.0,0.0,0.0,-0.7951000000000192,0.0
113,ITAUBA,NAT,Jacuí,Sul,0.7554,-0.7553999999999803,0.0,0.7554000000000087,0.0,0.0,0.0
114,D.FRANCISCA,NAT,Jacuí,Sul,0.3356,-0.33559999999999945,0.0,0.33559999999999945,-0.33559999999999945,0.0,0.0
115,CAP.CACH.,NAT,Capivari,Sul,6.3542,-6.354200000000006,0.0,-6.354199999999992,-6.354200000000006,-6.354199999999992,-6.354199999999992
120,JAGUARI,NAT,Paraíba do Sul,Sudeste,0.5163,0.0,-0.5162999999999993,-0.5162999999999993,-0.5163000000000011,-0.5163000000000011,-0.5162999999999993
121,PARAIBUNA,NAT,Paraíba do Sul,Sudeste,0.7007,-0.7006999999999977,0.0,-0.7006999999999977,-0.7006999999999977,-0.7006999999999977,0.0
122,SANTA BRANCA,NAT,Paraíba do Sul,Sudeste,0.3679,0.0,-0.3678999999999988,-0.36790000000000234,-0.36790000000000234,-0.3678999999999988,-0.36790000000000234
123,FUNIL,NAT,Paraíba do Sul,Sudeste,0.5575,-0.5574999999999903,0.0,-0.5575000000000045,-0.5575000000000045,-0.5575000000000045,-0.5574999999999974
126,SIMPLÍCIO ART.,ART,Paraíba do Sul,Sudeste,0.9762,36.437949473684185,20.561854736842108,-10.126790526315766,-9.51538105263159,-11.102990526315786,-7.1981905263158055
131,NILO PEÇANHA,ART,Paraíba do Sul,Sudeste,2.6871,-97.61244315789469,-88.84401157894735,-4.370073157894694,-0.6788463157894853,1.0041268421052791,-1.6829731578947644
134,SALTO GRANDE,NAT,Doce,Sudeste,0.802,0.0,0.0,0.0,-0.8020000000000067,-0.8019999999999996,-0.8019999999999996
