Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
271,ESTREITO TOC,0.211,NAT,3883,2723,2374,2194,2025,1900,819.313,574.553,500.914,462.93399999999997,427.275,400.9,Tocantins (N),Norte
273,LAJEADO,0.3315,NAT,1757,1308,1121,1003,917,863,582.4455,433.60200000000003,371.61150000000004,332.4945,303.9855,286.0845,Tocantins (SE),Sudeste
274,,,,,,,,,,,,,,,,Tocantins (N),Norte
275,TUCURUI,0.5496,NAT,21020,16244,13516,10735,8294,6725,11552.591999999999,8927.7024,7428.393599999999,5899.956,4558.3823999999995,3696.06,Tocantins (N),Norte
276,,,,,,,,,,,,,,,,Tocantins (N),Norte
277,CURUA-UNA,0.1679,NAT,394,351,349,327,295,268,66.15259999999999,58.9329,58.5971,54.903299999999994,49.530499999999996,44.9972,Amazonas (N),Norte
278,MANSO,0.508,NAT,124,102,94,85,81,84,62.992000000000004,51.816,47.752,43.18,41.148,42.672,Paraguai,Sudeste
279,SAMUEL,0.2762,NAT,862,585,477,360,288,256,238.0844,161.577,131.7474,99.432,79.54560000000001,70.7072,Amazonas (SE),Sudeste
280,COARACY NUNES,0.1795,NAT,2913,2504,2834,2866,2888,2886,522.8835,449.46799999999996,508.703,514.447,518.396,518.037,Araguari,Norte
281,P.PEDRA,2.2106,NAT,74,69,64,63,62,63,163.5844,152.5314,141.4784,139.2678,137.0572,139.2678,Paraguai,Sudeste
282,,,,,,,,,,,,,,,,Alto Paraná,Sudeste
283,SANTA CLARA - MG,0.4495,NAT,46,44,43,43,42,40,20.677,19.778,19.328500000000002,19.328500000000002,18.879,17.98,Mucuri,Sudeste
284,14 DE JULHO,0.3016,NAT,54,284,108,79,79,110,16.2864,85.6544,32.5728,23.8264,23.8264,33.175999999999995,Jacuí,Sul
285,JIRAU,0.155,NAT,34874,30917,27899,28677,23728,22400,5405.47,4792.135,4324.345,4444.935,3677.84,3472.0,Amazonas (SE),Sudeste
286,QUEBRA-QUEIXO,1.035,NAT,20,43,44,32,26,31,20.7,44.504999999999995,45.54,33.12,26.909999999999997,32.085,Uruguai,Sul
