Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
127,,,ART,210.8736842105263,213.86315789473684,164.9842105263158,152.9,144.2842105263158,136.92105263157896,,,,,,,Paraíba do Sul,Sudeste
129,,,NAT,283,290,242,271,256,243,,,,,,,Paraíba do Sul,Sudeste
130,,,NAT,316,319,266,298,280,265,,,,,,,Paraíba do Sul,Sudeste
131,NILO PEÇANHA,2.6871,ART,64.1263157894737,68.13684210526316,70.01578947368421,111.1,105.71578947368421,100.07894736842105,172.31382315789477,183.09050842105262,188.13942789473683,298.53681,284.06889789473684,268.92213947368424,Paraíba do Sul,Sudeste
132,,,ART,12,11,10,10,8,8,,,,,,,Paraíba do Sul,Sudeste
134,SALTO GRANDE,0.802,NAT,70,63,60,59,57,55,56.14,50.526,48.120000000000005,47.318000000000005,45.714000000000006,44.11,Doce,Sudeste
135,BARRA BRAUNA,0.2094,NAT,87,79,82,81,77,75,18.2178,16.5426,17.1708,16.9614,16.1238,15.705,Paraíba do Sul,Sudeste
141,BAGUARI,0.1698,NAT,338,294,276,277,269,263,57.3924,49.9212,46.8648,47.034600000000005,45.6762,44.6574,Doce,Sudeste
144,MASCARENHAS,0.1989,NAT,495,422,396,399,389,380,98.4555,83.9358,78.7644,79.3611,77.3721,75.582,Doce,Sudeste
145,RONDON II,0.5244,NAT,139,113,103,102,99,94,72.8916,59.2572,54.0132,53.4888,51.9156,49.2936,Amazonas (SE),Sudeste
148,AIMORÉS,0.2558,NAT,398,341,320,321,312,305,101.8084,87.22780000000002,81.85600000000001,82.1118,79.8096,78.019,Doce,Sudeste
149,CANDONGA,0.4503,NAT,96,88,83,84,81,78,43.2288,39.6264,37.3749,37.825199999999995,36.4743,35.1234,Doce,Sudeste
154,SAO DOMINGOS,0.3071,NAT,91,84,82,84,81,82,27.946099999999998,25.7964,25.182199999999998,25.7964,24.8751,25.182199999999998,Baixo Paraná,Sudeste
155,RETIRO BAIXO,0.3346,NAT,88,76,71,68,65,62,29.4448,25.4296,23.7566,22.7528,21.749000000000002,20.7452,São Francisco (SE),Sudeste
156,TRES MARIAS,0.436,NAT,418,352,315,294,276,264,182.248,153.472,137.34,128.184,120.336,115.104,São Francisco (SE),Sudeste
158,QUEIMADO,1.6404,NAT,38,32,31,30,28,27,62.3352,52.4928,50.8524,49.212,45.931200000000004,44.290800000000004,São Francisco (SE),Sudeste
160,,,,,,,,,,,,,,,,Alto Tietê,Sudeste
161,,,NAT,55,47,66,66,44,71,,,,,,,Alto Tietê,Sudeste
164,,,,,,,,,,,,,,,,Alto Tietê,Sudeste
166,,,NAT,2726,3026,3543,4202,3278,2939,,,,,,,Baixo Paraná,Sudeste
168,,,NAT,1153,780,685,568,555,579,,,,,,,São Francisco (NE),Nordeste
169,SOBRADINHO,0.2449,NAT,2004,1417,1140,961,908,907,490.7796,347.0233,279.18600000000004,235.34890000000001,222.3692,222.1243,São Francisco (NE),Nordeste
171,,,NAT,0,0,0,0,0,0,,,,,,,São Francisco (NE),Nordeste
172,LUIZ GONZAGA,0.4425,NAT,2129,1573,1148,961,908,907,942.0825,696.0525,507.99,425.2425,401.79,401.3475,São Francisco (NE),Nordeste
173,,,NAT,2129,1573,1148,961,908,907,,,,,,,São Francisco (NE),Nordeste
175,,,NAT,2129,1573,1148,961,908,907,,,,,,,São Francisco (NE),Nordeste
176,COMPLEXO,1.0213,NAT,2129,1573,1148,961,908,907,2174.3477000000003,1606.5049000000001,1172.4524000000001,981.4693000000001,927.3404,926.3191,São Francisco (NE),Nordeste
178,XINGÓ,1.0781,NAT,2176,1658,1165,961,908,907,2345.9456,1787.4898,1255.9865,1036.0541,978.9148,977.8367000000001,São Francisco (NE),Nordeste
183,A. DIAS + SÁ CARVALHO,0.9364,NAT,40,35,31,31,30,29,37.456,32.774,29.0284,29.0284,28.092,27.1556,Doce,Sudeste
184,,,,,,,,,,,,,,,,Doce,Sudeste
187,,,,,,,,,,,,,,,,Tocantins (N),Norte
188,ITAPEBI,0.715,NAT,96,84,78,73,70,68,68.64,60.059999999999995,55.769999999999996,52.195,50.05,48.62,Jequitinhonha (NE),Nordeste
190,B. ESPERANCA,0.3784,NAT,478,367,326,288,263,252,180.8752,138.8728,123.3584,108.9792,99.5192,95.3568,Parnaíba,Nordeste
191,CANA BRAVA,0.3868,NAT,536,439,390,393,362,340,207.32479999999998,169.80519999999999,150.852,152.01239999999999,140.02159999999998,131.512,Tocantins (SE),Sudeste
196,ROSAL,1.6903,NAT,19,20,18,17,17,16,32.1157,33.806,30.4254,28.7351,28.7351,27.0448,Itabapoana,Sudeste
197,PICADA,1.1546,NAT,19,18,18,18,17,16,21.9374,20.7828,20.7828,20.7828,19.6282,18.4736,Paraíba do Sul,Sudeste
