;NOME;PRODUTIBILIDADE;Tipo;S1;S2;S3;S4;S5;S6;ENA1;ENA2;ENA3;ENA4;ENA5;ENA6
066;ITAIPU ART.;1.0244;ART;7273.3;6344.7;5862.1;6047.8;6298.2;6106.6;7450.76852;6499.510679999999;6005.1352400000005;6195.36632;6451.87608;6255.6010400000005
071;STA CLARA PR;0.8126;NAT;92;106;63;90;89;81;74.75919999999999;86.1356;51.193799999999996;73.134;72.3214;65.8206
072;FUNDÃO;0.8307;NAT;96;110;67;96;94;86;79.74719999999999;91.377;55.6569;79.74719999999999;78.0858;71.4402
073;JORDÃO NAT.;0.0;NAT;116;129;82;121;114;106;0.0;0.0;0.0;0.0;0.0;0.0
074;FOZ DO AREIA;1.0938;NAT;250;542;384;448;472;375;273.45000000000005;592.8396;420.01920000000007;490.02240000000006;516.2736000000001;410.175
075;SEGREDO;0.904;ART;438;758;534;685;680;573;395.952;685.232;482.736;619.24;614.72;517.992
076;;;NAT;332;639;462;574;576;477;;;;;;
077;SLT SANTIAGO;0.8921;NAT;553;932;649;842;823;696;493.3313;831.4372;578.9729;751.1482;734.1983;620.9016
078;SALTO OSORIO;0.5747;NAT;568;996;690;900;875;740;326.4296;572.4012;396.543;517.23;502.8625;425.278
081;BAIXO IGUAÇU;0.1458;NAT;983;1567;1053;1412;1338;1133;143.3214;228.4686;153.5274;205.86960000000002;195.08040000000003;165.19140000000002
088;SAO ROQUE;0.4335;NAT;90;111;96;150;184;160;39.015;48.1185;41.616;65.025;79.764;69.36
089;GARIBALDI;0.3691;NAT;103;136;118;183;225;195;38.0173;50.197599999999994;43.553799999999995;67.5453;83.0475;71.97449999999999
092;ITÁ;0.9097;NAT;457;657;561;1006;934;787;415.7329;597.6728999999999;510.34169999999995;915.1582;849.6597999999999;715.9339
093;PASSO FUNDO;2.2252;NAT;56;81;61;72;66;74;124.6112;180.2412;135.7372;160.2144;146.8632;164.6648
094;FOZ CHAPECO;0.4506;NAT;612;895;749;1233;1159;1008;275.7672;403.287;337.4994;555.5898;522.2454;454.2048
096;;;NAT;16;50;39;70;71;99;;;;;;
097;MONTE CLARO;0.3541;NAT;47;112;98;190;189;244;16.6427;39.659200000000006;34.701800000000006;67.27900000000001;66.92490000000001;86.4004
098;CASTRO ALVES;0.7676;NAT;29;54;53;109;106;129;22.260399999999997;41.450399999999995;40.6828;83.66839999999999;81.3656;99.0204
099;ESPORA;0.4021;NAT;57;56;55;55;58;57;22.919700000000002;22.5176;22.1155;22.1155;23.3218;22.919700000000002
101;SALTO PILAO;1.7641;NAT;63;66;47;71;76;67;111.1383;116.4306;82.9127;125.2511;134.0716;118.1947
102;SÃO JOSÉ;0.1878;NAT;463;254;215;254;259;273;86.95139999999999;47.7012;40.376999999999995;47.7012;48.6402;51.2694
103;PASSO SÃO JOÃO;0.2545;NAT;482;264;223;263;269;284;122.669;67.188;56.7535;66.9335;68.4605;72.278
104;;;NAT;24;12;11;15;14;13;;;;;;
109;;;NAT;11;7;6;8;8;7;;;;;;
110;ERNESTINA;0.0;NAT;12;36;25;38;33;43;0.0;0.0;0.0;0.0;0.0;0.0
111;PASSO REAL;0.3682;NAT;203;224;187;263;243;302;74.7446;82.47680000000001;68.85340000000001;96.8366;89.4726;111.19640000000001
112;JACUI;0.7951;NAT;207;227;191;268;246;306;164.5857;180.48770000000002;151.8641;213.0868;195.5946;243.3006
113;ITAUBA;0.7554;NAT;274;302;268;380;310;396;206.97959999999998;228.1308;202.44719999999998;287.05199999999996;234.17399999999998;299.1384
114;D.FRANCISCA;0.3356;NAT;342;385;355;505;380;497;114.7752;129.20600000000002;119.138;169.478;127.528;166.7932
115;CAP.CACH.;6.3542;NAT;13;10;10;12;10;10;82.60459999999999;63.541999999999994;63.541999999999994;76.2504;63.541999999999994;63.541999999999994
116;;;NAT;2;1;1;2;2;2;;;;;;
117;;;NAT;13;5;5;7;6;6;;;;;;
118;;;NAT;11;7;6;8;8;7;;;;;;
119;;;NAT;13;8;7;10;10;9;;;;;;
120;JAGUARI;0.5163;NAT;18;17;16;17;17;17;9.2934;8.777099999999999;8.2608;8.777099999999999;8.777099999999999;8.777099999999999
121;PARAIBUNA;0.7007;NAT;33;34;32;34;34;32;23.1231;23.8238;22.4224;23.8238;23.8238;22.4224
122;SANTA BRANCA;0.3679;NAT;38;38;37;39;39;37;13.9802;13.9802;13.6123;14.3481;14.3481;13.6123
123;FUNIL;0.5575;NAT;115;109;104;109;109;102;64.1125;60.7675;57.98;60.7675;60.7675;56.865
125;;;NAT;151;142;136;141;141;132;;;;;;
126;SIMPLÍCIO ART.;0.9762;ART;96.42631578947368;87.06315789473683;80.82105263157894;81.68947368421053;76.68947368421053;68.32631578947368;94.1313694736842;84.99105473684209;78.89751157894736;79.74526421052632;74.86426421052631;66.7001494736842
127;;;ART;186.42631578947368;177.06315789473683;170.82105263157894;171.68947368421053;166.68947368421053;158.32631578947368;;;;;;
129;;;NAT;297;278;267;270;264;250;;;;;;
130;;;NAT;331;312;299;301;295;280;;;;;;
131;NILO PEÇANHA;2.6871;ART;102.57368421052631;92.93684210526315;89.17894736842105;91.31052631578947;91.31052631578947;85.67368421052632;275.62574684210523;249.73058842105263;239.6327494736842;245.3605152631579;245.3605152631579;230.21375684210528
132;;;ART;12;12;10;10;9;9;;;;;;
134;SALTO GRANDE;0.802;NAT;75;74;71;70;71;68;60.150000000000006;59.348000000000006;56.942;56.14;56.942;54.536
135;BARRA BRAUNA;0.2094;NAT;90;88;85;84;82;79;18.846;18.4272;17.799;17.5896;17.1708;16.5426
141;BAGUARI;0.1698;NAT;348;334;324;318;330;312;59.0904;56.7132;55.0152;53.9964;56.034;52.9776
144;MASCARENHAS;0.1989;NAT;507;483;470;463;488;460;100.8423;96.06869999999999;93.48299999999999;92.0907;97.0632;91.494
145;RONDON II;0.5244;NAT;135;103;98;92;89;81;70.794;54.0132;51.3912;48.2448;46.6716;42.4764
148;AIMORÉS;0.2558;NAT;408;387;376;370;386;365;104.36640000000001;98.9946;96.1808;94.64600000000002;98.73880000000001;93.367
149;CANDONGA;0.4503;NAT;101;99;95;93;92;87;45.4803;44.579699999999995;42.7785;41.8779;41.4276;39.1761
154;SAO DOMINGOS;0.3071;NAT;91;87;84;88;91;86;27.946099999999998;26.717699999999997;25.7964;27.0248;27.946099999999998;26.4106
155;RETIRO BAIXO;0.3346;NAT;93;90;85;81;78;76;31.117800000000003;30.114;28.441000000000003;27.102600000000002;26.0988;25.4296
156;TRES MARIAS;0.436;NAT;446;408;377;358;341;330;194.456;177.888;164.37199999999999;156.088;148.676;143.88
158;QUEIMADO;1.6404;NAT;40;38;36;35;34;32;65.616;62.3352;59.0544;57.414;55.7736;52.4928
161;;;NAT;51;45;40;57;52;47;;;;;;
166;;;NAT;2144;2127;1881;2006;2246;2266;;;;;;
168;;;NAT;1241;964;742;709;671;637;;;;;;
169;SOBRADINHO;0.2449;NAT;2094;1610;1245;1161;1090;1033;512.8206;394.289;304.9005;284.32890000000003;266.94100000000003;252.98170000000002
171;;;NAT;14;0;0;0;0;0;;;;;;
172;LUIZ GONZAGA;0.4425;NAT;2195;1610;1245;1161;1090;1033;971.2875;712.425;550.9125;513.7425;482.325;457.1025
173;;;NAT;2195;1610;1245;1161;1090;1033;;;;;;
175;;;NAT;2195;1610;1245;1161;1090;1033;;;;;;
176;COMPLEXO;1.0213;NAT;2195;1610;1245;1161;1090;1033;2241.7535000000003;1644.2930000000001;1271.5185000000001;1185.7293000000002;1113.217;1055.0029000000002
178;XINGÓ;1.0781;NAT;2239;1610;1245;1161;1090;1033;2413.8659000000002;1735.741;1342.2345;1251.6741000000002;1175.1290000000001;1113.6773
183;A. DIAS + SÁ CARVALHO;0.9364;NAT;40;36;35;34;34;34;37.456;33.7104;32.774;31.837600000000002;31.837600000000002;31.837600000000002
188;ITAPEBI;0.715;NAT;96;87;83;80;79;76;68.64;62.205;59.345;57.199999999999996;56.485;54.339999999999996
190;B. ESPERANCA;0.3784;NAT;508;421;365;353;339;316;192.2272;159.3064;138.116;133.5752;128.2776;119.57440000000001
191;CANA BRAVA;0.3868;NAT;596;583;537;496;460;424;230.53279999999998;225.50439999999998;207.71159999999998;191.8528;177.928;164.0032
196;ROSAL;1.6903;NAT;21;20;19;19;22;18;35.4963;33.806;32.1157;32.1157;37.1866;30.4254
197;PICADA;1.1546;NAT;21;21;20;20;19;18;24.2466;24.2466;23.092000000000002;23.092000000000002;21.9374;20.7828
198;SOBRAGI;0.7164;NAT;41;41;40;40;39;37;29.372400000000003;29.372400000000003;28.656000000000002;28.656000000000002;27.939600000000002;26.506800000000002
201;;;NAT;8;8;7;7;6;6;;;;;;
202;;;NAT;4;4;3;3;3;3;;;;;;
203;;;NAT;16;12;11;10;9;9;;;;;;
204;CACHOEIRA CALDEIRAO;0.1406;NAT;2759;2435;2513;2436;2245;2207;387.91540000000003;342.361;353.3278;342.5016;315.647;310.3042
205;CORUMBA IV;0.5836;NAT;74;71;67;63;60;57;43.1864;41.4356;39.1012;36.7668;35.016;33.2652
206;MIRANDA;0.6195;NAT;265;253;241;234;222;214;164.16750000000002;156.73350000000002;149.29950000000002;144.96300000000002;137.52900000000002;132.573
207;CAPIM BRANCO 1;0.5114;NAT;266;254;242;235;223;215;136.0324;129.8956;123.7588;120.17899999999999;114.0422;109.951
209;CORUMBA I;0.6294;NAT;321;298;280;264;250;238;202.0374;187.56119999999999;176.232;166.1616;157.35;149.7972
211;FUNIL-GRANDE;0.3549;NAT;161;147;140;136;134;129;57.1389;52.1703;49.686;48.2664;47.556599999999996;45.7821
213;SUIÇA;2.1132;NAT;6;6;6;7;9;7;12.6792;12.6792;12.6792;14.7924;19.0188;14.7924
215;BARRA GRANDE;1.4153;NAT;73;121;114;225;224;212;103.3169;171.2513;161.3442;318.4425;317.0272;300.0436
216;CAMPOS NOVOS;1.6063;NAT;112;149;129;201;247;215;179.9056;239.33870000000002;207.2127;322.8663;396.7561;345.35450000000003
217;MACHADINHO;0.8779;NAT;263;398;335;590;615;548;230.8877;349.4042;294.0965;517.961;539.9085;481.0892
220;MONJOLINHO;0.54;NAT;95;139;105;122;113;125;51.300000000000004;75.06;56.7;65.88000000000001;61.02;67.5
221;;;ART;4;6;6;8;8;9;;;;;;
222;SALTO CAXIAS;0.5596;NAT;877;1404;949;1266;1206;1021;490.7692;785.6784;531.0604;708.4535999999999;674.8776;571.3516
224;;;NAT;4;6;6;8;8;9;;;;;;
225;SALTO APIACÁS;0.2218;NAT;297;246;196;157;126;102;65.8746;54.562799999999996;43.4728;34.8226;27.9468;22.6236
226;JURUENA;0.2969;NAT;145;142;139;136;134;132;43.0505;42.1598;41.2691;40.3784;39.7846;39.1908
227;SINOP;0.2431;NAT;950;882;830;736;654;678;230.94500000000002;214.41420000000002;201.773;178.9216;158.9874;164.8218
228;COLIDER;0.2078;NAT;1048;964;907;805;716;735;217.7744;200.31920000000002;188.4746;167.279;148.78480000000002;152.733
229;TELES PIRES;0.5054;NAT;3110;2522;2193;1913;1700;1569;1571.7939999999999;1274.6188;1108.3421999999998;966.8301999999999;859.18;792.9725999999999
230;SAO MANOEL;0.2267;NAT;3153;2536;2205;1930;1715;1583;714.7851;574.9112;499.87350000000004;437.531;388.7905;358.8661
237;;;NAT;210;213;203;226;225;209;;;;;;
238;;;NAT;268;268;255;279;276;257;;;;;;
239;;;NAT;377;373;356;382;373;351;;;;;;
240;;;NAT;431;426;409;441;432;407;;;;;;
241;SLT VERDINHO;0.3742;NAT;124;119;117;117;118;114;46.4008;44.529799999999994;43.7814;43.7814;44.1556;42.6588
242;;;NAT;454;447;430;465;455;429;;;;;;
243;;;NAT;479;460;443;478;469;443;;;;;;
244;;;NAT;4221;3841;3656;3630;3577;3407;;;;;;
245;;;NAT;4514;4106;3912;3890;3853;3672;;;;;;
246;;;NAT;5291;4703;4452;4449;4468;4259;;;;;;
247;CACU;0.243;NAT;135;129;124;123;121;116;32.805;31.346999999999998;30.131999999999998;29.889;29.403;28.188
248;B. COQUEIROS;0.3214;NAT;141;134;129;128;126;121;45.3174;43.067600000000006;41.4606;41.1392;40.4964;38.8894
249;OURINHOS;0.0962;NAT;69;72;65;89;119;101;6.6377999999999995;6.926399999999999;6.252999999999999;8.5618;11.447799999999999;9.716199999999999
251;SERRA FACAO;0.6489;NAT;108;109;102;96;91;86;70.08120000000001;70.73010000000001;66.18780000000001;62.2944;59.0499;55.805400000000006
252;ITIQUIRA II;1.2239;NAT;65;62;60;60;59;57;79.5535;75.8818;73.434;73.434;72.2101;69.7623
253;SÃO SALVADOR;0.2149;NAT;663;639;586;541;502;462;142.4787;137.3211;125.93140000000001;116.2609;107.8798;99.2838
254;PEDRA DO CAVALO;0.9483;NAT;35;15;14;14;14;16;33.1905;14.2245;13.276200000000001;13.276200000000001;13.276200000000001;15.1728
255;IRAPÉ;1.4533;NAT;54;51;48;45;43;40;78.4782;74.1183;69.7584;65.3985;62.4919;58.132000000000005
257;PEIXE ANGICAL;0.2408;NAT;1178;1081;978;899;834;764;283.6624;260.3048;235.5024;216.4792;200.82719999999998;183.97119999999998
259;ITIQUIRA I;0.7685;NAT;65;62;60;60;59;57;49.9525;47.647;46.11;46.11;45.341499999999996;43.8045
260;;;NAT;85;82;81;81;82;79;;;;;;
261;FOZ DO RIO CLARO;0.2395;NAT;152;144;138;137;135;130;36.403999999999996;34.488;33.051;32.811499999999995;32.332499999999996;31.134999999999998
262;GUILMAN;1.0066;NAT;38;36;34;33;34;33;38.2508;36.2376;34.224399999999996;33.2178;34.224399999999996;33.2178
263;PORTO ESTRELA;0.4593;NAT;75;74;71;70;71;68;34.4475;33.9882;32.6103;32.150999999999996;32.6103;31.2324
266;;;NAT;7300;6360;5876;6067;6316;6123;;;;;;
269;BALBINA;0.208;NAT;1159;1172;1265;1240;1247;1156;241.072;243.77599999999998;263.12;257.92;259.376;240.44799999999998
270;SERRA DA MESA;1.0404;NAT;530;526;486;450;418;385;551.412;547.2504;505.63439999999997;468.18;434.8872;400.554
271;ESTREITO TOC;0.211;NAT;4049;3197;2871;2650;2472;2273;854.3389999999999;674.567;605.781;559.15;521.592;479.603
273;LAJEADO;0.3315;NAT;1817;1545;1389;1274;1181;1080;602.3355;512.1675;460.4535;422.331;391.5015;358.02000000000004
275;TUCURUI;0.5496;NAT;20988;16142;12661;10103;8260;6900;11535.004799999999;8871.6432;6958.4856;5552.6088;4539.696;3792.24
277;CURUA-UNA;0.1679;NAT;385;388;374;348;312;283;64.6415;65.1452;62.794599999999996;58.429199999999994;52.3848;47.515699999999995
278;MANSO;0.508;NAT;133;98;78;74;71;67;67.56400000000001;49.784;39.624;37.592;36.068;34.036
279;SAMUEL;0.2762;NAT;855;611;453;378;360;301;236.151;168.7582;125.1186;104.4036;99.432;83.1362
280;COARACY NUNES;0.1795;NAT;2770;2443;2521;2444;2252;2214;497.215;438.51849999999996;452.5195;438.698;404.234;397.413
281;P.PEDRA;2.2106;NAT;74;72;71;71;71;71;163.5844;159.1632;156.9526;156.9526;156.9526;156.9526
283;SANTA CLARA - MG;0.4495;NAT;53;59;58;56;57;53;23.8235;26.520500000000002;26.071;25.172;25.6215;23.8235
284;14 DE JULHO;0.3016;NAT;49;120;104;200;200;259;14.7784;36.192;31.3664;60.31999999999999;60.31999999999999;78.11439999999999
285;JIRAU;0.155;NAT;34940;29861;26059;24431;22141;21245;5415.7;4628.455;4039.145;3786.805;3431.855;3292.975
286;QUEBRA-QUEIXO;1.035;NAT;28;38;34;59;59;48;28.979999999999997;39.33;35.19;61.065;61.065;49.67999999999999
287;SANTO ANTONIO;0.1589;NAT;35838;30369;26500;24804;22479;21566;5694.658200000001;4825.6341;4210.85;3941.3556000000003;3571.9131;3426.8374000000003
288;PIMENTAL;0.0;NAT;15788;15912;15243;13367;11195;8935;0.0;0.0;0.0;0.0;0.0;0.0
290;SANTO ANTONIO DO JARI;0.2315;NAT;2150;2594;3389;3400;3104;2983;497.725;600.5110000000001;784.5535;787.1;718.576;690.5645000000001
291;DARDANELOS;0.8689;NAT;813;677;546;466;422;356;706.4157;588.2453;474.4194;404.9074;366.6758;309.3284
292;BELO MONTE ART;0.8185;ART;8872.167142857143;10375.44;11085.711428571429;10013.781428571428;8214.445714285715;6327.108571428572;7261.868806428572;8492.29764;9073.654804285714;8196.280099285714;6723.523817142858;5178.738365714286
294;SALTO;0.4502;NAT;114;110;108;108;109;106;51.3228;49.522;48.6216;48.6216;49.071799999999996;47.721199999999996
295;JAURU;0.9297;NAT;92;85;83;82;83;81;85.5324;79.0245;77.1651;76.2354;77.1651;75.3057
296;GUAPORÉ;1.5452;NAT;43;39;37;37;37;37;66.44359999999999;60.2628;57.172399999999996;57.172399999999996;57.172399999999996;57.172399999999996
297;FERREIRA GOMES;0.1499;NAT;2795;2462;2541;2464;2270;2231;418.9705;369.0538;380.89590000000004;369.35360000000003;340.273;334.4269
298;;;ART;94.57368421052631;88.93684210526315;85.17894736842105;88.31052631578947;88.31052631578947;82.67368421052632;;;;;;
299;ILHA POMBOS;0.2702;ART;220.42631578947368;211.06315789473683;202.82105263157894;202.68947368421053;197.68947368421053;188.32631578947368;59.55919052631579;57.02926526315789;54.802248421052624;54.76669578947369;53.41569578947368;50.88577052631579
301;;;NAT;11;7;6;8;8;7;;;;;;
302;PIMENTAL_ART;0.114;ART;6915.832857142857;5536.5599999999995;4157.288571428571;3353.2185714285715;2980.5542857142846;2607.891428571428;788.4049457142858;631.16784;473.93089714285713;382.26691714285715;339.78318857142847;297.2996228571428
303;FONTES;2.7014;ART;12.0;12.0;10.0;10.0;9.0;9.0;32.4168;32.4168;27.014;27.014;24.3126;24.3126
304;;;ART;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
306;PEREIRA PASSOS;0.3233;ART;114.57368421052631;104.93684210526315;99.17894736842105;101.31052631578947;100.31052631578947;94.67368421052632;37.04167210526315;33.926081052631574;32.06455368421052;32.75369315789474;32.430393157894734;30.608002105263157
315;;;ART;102.57368421052631;92.93684210526315;89.17894736842105;91.31052631578947;91.31052631578947;85.67368421052632;;;;;;
316;;;ART;102.57368421052631;92.93684210526315;89.17894736842105;91.31052631578947;91.31052631578947;85.67368421052632;;;;;;
317;;;ART;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;
318;H.BORDEN;5.6808;ART;28.7;16.3;14.9;21.2;19.8;18.4;163.03895999999997;92.59703999999999;84.64392;120.43296;112.47984;104.52671999999998
319;;;ART;26.7;15.3;13.9;19.2;17.8;16.4;;;;;;
320;;;NAT;13;8;7;10;10;9;;;;;;
366;;;ART;7300;6360;5876;6067;6316;6123;;;;;;
